qiymet,otaqlar,sahe,mertebe,erazi,sheher,gun ve vaxt,parsed_at
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:38:16.248990
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:38:16.249430
175 000,36.5 m²,,,Abşeron r.,Bakı,bugün 13:37,2026-07-15 13:38:21.158194
205 000,40 m²,,,Xırdalan,Xırdalan,bugün 13:36,2026-07-15 13:38:21.158491
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:38:21.158742
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:38:21.158996
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:38:21.159249
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:38:21.159469
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:38:21.159693
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:38:21.159927
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:38:21.160155
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:38:21.160373
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:38:21.160590
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:38:21.160803
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:38:21.161015
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:38:21.161222
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:38:21.161433
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:38:21.161649
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:38:21.161852
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:38:21.162067
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:38:21.162276
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:38:21.162487
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:38:21.162699
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:38:21.162908
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:38:21.163122
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:38:21.163329
175 000,36.5 m²,,,Abşeron r.,Bakı,bugün 13:37,2026-07-15 13:38:26.123551
205 000,40 m²,,,Xırdalan,Xırdalan,bugün 13:36,2026-07-15 13:38:26.123934
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:38:26.124323
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:38:26.124714
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:38:26.125066
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:38:26.125424
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:38:26.125793
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:38:26.126203
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:38:26.126688
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:38:26.126982
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:38:26.127251
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:38:26.127514
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:38:26.127741
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:38:26.128040
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:38:26.128298
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:38:26.128565
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:38:26.128816
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:38:26.129333
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:38:26.130441
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:38:26.131075
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:38:26.131582
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:38:26.132078
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:38:26.132543
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:38:26.133086
175 000,36.5 m²,,,Abşeron r.,Bakı,bugün 13:37,2026-07-15 13:38:31.142321
205 000,40 m²,,,Xırdalan,Xırdalan,bugün 13:36,2026-07-15 13:38:31.142654
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:38:31.142928
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:38:31.143234
